faqid,query,ans
1,What should I have to do to make my english and communication skills perfect?,1
4,"How come people on Quora ask questions here, when they can get them on Google and why is Quora just a question/answer site, will it expand?",4
7,When is the most likely time WW3 will happen?,7
8,How can i make money online easily?,8
9,How do I prepare for the IAS exam at home?,9
12,Do running increase your height?,12
14,What is your New Year's resolution for 2017?,14
15,"What's the ""easiest"" way to kill yourself with your bare hands without suffering?",15
16,How should I know my purpose of life?,16
17,How do I increase my blog daily visitors www.theitheaven.blogspot.com?,17
18,What are some of the real life Alien Encounters (with proof)?,18
20,Is time travel possible? If yes how,20
21,Does our mind control our emotions?,21
22,Why doesn't anyone reply to my questions on Quora?,22
23,Is kerala a good place to visit?,23
25,"Despite Billion people, Why India is so bad at Olympics? Why does India lack talent?",25
27,I have forgotten my password for Facebook and no primary email and phone is added to my account. How can I get access to my account?,27
28,Can I track a person and his mobile online?,28
29,Is dark/vacuum energy infinite because the expansion of the universe is infinite and more and more of it is created as the universe expands?,29
30,What are the safety precautions on handling shotguns proposed by the NRA in Arizona?,30
31,How do I catch a cheating spouse?,31
33,Can I get pregnant a couple hours before I got my period?,33
34,How can one overcome procrastination?,34
36,"Starting with no programming experience, how long will it take to learn Python 3?",36
37,How did Donald Trump win the Presidential election?,37
38,How can I increse my penis size?,38
39,"My period is about a week overdue. There is no way I can be pregnant, since I've never had sex. I'm 13 years old and I've had my period for around 2 years and it's never been this late. My cycle is around 29 days and it's been about 36 days since my last period. I'd really appreciate some help.",39
40,When u smoke crystal meth how long will it be to be able to pass a urine drug test?,40
41,How will Trump's victory affect India?,41
42,How can I get rid from my acnes?,42
43,How do I get meth out of my system in 3 days?,43
44,How do I get funding for my startup idea before we have a prototype?,44
45,"How does this ""demonetisation of 500 & 1000 rupee notes"" help to reduce the price of real estate?",45
46,Which phone should I buy under 15k?,46
47,How do l study efficiently?,47
50,How can you resolve the problem of accounting software tool by quickbooks technical support number?,50
51,Why are Saltwater taffy candy imported in the Philippines?,51
52,What's the funniest highbrow joke you've ever heard?,52
53,What should I do to control my anger?,53
54,Do distance relationships work? How can you make it work?,54
55,Where can I get best legal support for property transaction in Sydney?,55
57,What are the best online courses available for digital business and marketing management?,57
58,Can I survive A 50 AE Desert eagle hit in The head at close range?,58
86,What are some psychological tricks to stop caring about what people think?,86
87,Which is the best laptop to buy above ₹25000 and below/upto ₹30000?,87
88,How do I find my own gmail accounts list?,88
89,How do you know if you are in love with someone?,89
91,Why did MS Dhoni leave the captaincy of ODI and T20?,91
93,What valid proof can confirm/deny the surgical strike India claims it did yesterday in POK/Azad Kashmir (29/09/16)?,93
95,Is it too late to study medicine at 23?,95
