faqid,query,ans
1,How can I improve my English Language?,1
1,How do I speak English fluently in half a year?,1
1,How can I improve my English in all aspects?,1
1,How do I get my English better?,1
1,How can I specifically improve my English?,1
1,How can I learn to speak English fluently?,1
1,How can I speak English like natives?,1
1,How can improve my English speaking?,1
1,What is the best way of improving spoken English?,1
1,What are the most efficient methods for me to improve my English?,1
4,Why do some people ask simple direct science questions in Quora when there are sufficient resources available in internet?,4
4,Why do many Quora users ask questions they could look up online?,4
4,Why do so many people post questions on Quora that could be easily and thoroughly answered by simply typing the question into any search engine?,4
4,Why do people ask questions on Quora that can easily be answered by Google?,4
4,Why do people keep asking questions on Quora even though the most of the information is available out there on Google?,4
4,Why do people ask basic questions instead of searching them?,4
4,Why do people find it easier to stage simple questions on Quora rather than spending a few minutes on the Internet to find straight answers?,4
4,If I can find all answers on Google then why should one use Quora?,4
4,Why do people ask questions on Quora while They can get all the answers by Googling?,4
4,Why do most Quorans ask questions here instead of googling answers?,4
7,Is World War 3 more imminent than expected?,7
7,Is there any chance of World War III?,7
7,Is there a possibility of World War III happening in the next 10 years?,7
7,Is World War III coming?,7
7,Are we getting closer to world war 3?,7
7,How close are we (or not close) right now to World War 3?,7
7,Are we overdue for a world war?,7
7,"How close are we to World War Three, and how bad would it be?",7
7,Will WW3 happen if Clinton is elected as new PM?,7
7,Why World War III are inevitable?,7
8,What is the easiest way to earn money from online?,8
8,Is there any easy way to make money online?,8
8,What is a way to make money online?,8
8,How can I make money online for job?,8
8,How do you make money online?,8
8,What's the easiest way to make money online?,8
8,How can I make money online consistently?,8
8,What are the best ways to earn money from home?,8
8,What should I do to earn money online?,8
8,What are ways of earning money online?,8
9,How do I start preparing for IAS prelims?,9
9,How should I start my preparation for IAS as an engineering student?,9
9,How do I prepare for IAS? And which books should I refer for the same?,9
9,How do I start preparing for IAS exam? How much time should I spend on which subject?,9
9,Which books should I use to study for the IAS?,9
9,How do start preparation for IAS?,9
9,How do I prepare for upsc prelim?,9
9,How can I start preparing for ias exam? I have 4 yrs.,9
9,How do I start preparation for upsc exams?,9
9,How can I crack the ias in fresher?,9
12,I'm 16 and 5'2.5. How can I ACTIVELY grow taller?,12
12,How do I increase my height after 22?,12
12,Is there any way that trough which my height will increase?,12
12,Can skipping increase your height?,12
12,In what ways can I grow taller?,12
12,Does skipping increase height?,12
12,Is there any proven method to increase 13 year old girl's height after hitting puberty?,12
12,How can I increase my height after 18 years of age?,12
12,How can you increase your height?,12
12,How do I grow taller (1-2 inches) when I'm already 23? Is it possible?,12
14,What will be your new year resolution for 2017 and your plan of execution?,14
14,What should be my resolution for 2017?,14
14,What's your resolutions for 2017?,14
14,What are some meaningful new year resolutions for 2017?,14
14,What is your creative New Year's resolution for 2017?,14
14,What is your new year resolution?,14
14,What is your New Year's resolution for 2017?,14
14,What are your new year resolutions for 2017?,14
14,What are your resolutions for 2017? And why?,14
14,What is your resolution for this year 2017?,14
15,What can be the most insane ways to commit suicide?,15
15,What are some fairly painless ways to die?,15
15,What are the possible ways to commit suicide?,15
15,What is the most painless way to commit suicide?,15
15,"What is the cheapest, painless, easiest way to commit suicide?",15
15,What is the easiest and painless way to commit suicide?,15
15,I want to commit suicide. What is the easiest way?,15
